ticket_id,title,description,priority,estimate_days,labels,epic,sprint,acceptance_criteria
CL-001,Define OpenAPI v1 baseline,"Create `openapi.yaml` for critical endpoints: health, waitlist, checkout, subscription status, Lemon webhook, AI coach.",P0,1.0,"backend,api,docs",Epic 1 - API Contract and FE-BE Consistency,Sprint 1,"`openapi.yaml` exists in repo; critical endpoints include request and response schemas; success and error examples are documented."
CL-002,Standardize API error format,"Implement a single error response shape: `{ code, message, details?, requestId }` across endpoints.",P0,1.0,"backend,api",Epic 1 - API Contract and FE-BE Consistency,Sprint 1,"All endpoints return the standard error shape; OpenAPI documents the shape; frontend consumes `code` consistently."
CL-003,Add requestId propagation,"Generate a request identifier per HTTP request and propagate it in responses and logs.",P1,0.5,"backend,observability",Epic 1 - API Contract and FE-BE Consistency,Sprint 1,"Every response includes `requestId`; server logs include the same `requestId`; request tracing works end-to-end."
CL-004,Setup CI workflow,"Add `.github/workflows/ci.yml` to run tests and basic checks on pull requests and pushes.",P0,0.5,"devops,ci",Epic 2 - CI and Release Safety,Sprint 1,"CI runs on push and pull request; `npm test` passes in `comfort-ledger-beta`; failing checks block merge."
CL-005,Add predeploy validation script,"Create `npm run predeploy:check` to validate critical env vars and release prerequisites.",P0,0.5,"devops,release",Epic 2 - CI and Release Safety,Sprint 1,"Script fails when critical secrets are missing; checks include session secret and Lemon webhook secret when purchase mode is enabled; release checklist references script."
CL-006,Design data schema v1,"Define relational schema for users, sessions, waitlist, subscriptions, and webhook events.",P0,0.5,"backend,data,architecture",Epic 3 - Data Persistence Hardening,Sprint 2,"Schema document exists; tables and key indexes are defined; migration approach is documented."
CL-007,Implement data access layer,"Replace direct JSON file access with repository/data-access layer backed by database.",P0,2.0,"backend,data",Epic 3 - Data Persistence Hardening,Sprint 2,"Critical endpoints use repository layer; migrated entities no longer rely on JSON writes; integration smoke tests pass."
CL-008,Build JSON-to-DB migration script,"Create idempotent migration script for beta users, sessions, waitlist, and subscriptions.",P0,1.0,"backend,data,migration",Epic 3 - Data Persistence Hardening,Sprint 2,"Script is idempotent; migration report shows counts and failures; dry-run mode is available."
CL-009,Document rollback procedure,"Write and validate rollback plan for failed data migration in staging.",P0,0.5,"devops,data,runbook",Epic 3 - Data Persistence Hardening,Sprint 2,"Rollback document exists; staging rollback rehearsal completed; backups are required before production migration."
CL-010,Add webhook idempotency,"Store and deduplicate Lemon webhook event IDs to prevent double-processing.",P0,1.0,"backend,payments,security",Epic 4 - Payments and Webhooks at Scale,Sprint 3,"Duplicate events do not mutate state twice; event processing states are tracked as processed, duplicate, or failed; automated test covers replay."
CL-011,Create subscription reconciliation job,"Implement periodic reconciliation between Lemon subscription state and local records.",P1,1.0,"backend,payments,ops",Epic 4 - Payments and Webhooks at Scale,Sprint 3,"Manual or scheduled reconcile command exists; mismatches are reported; mismatches can be corrected safely."
CL-012,Harden payment-related endpoints,"Apply strict email validation, endpoint-specific rate limits, and safe error responses for checkout and portal paths.",P0,0.5,"backend,payments,security",Epic 4 - Payments and Webhooks at Scale,Sprint 3,"Rate limits are enforced on checkout and portal endpoints; invalid emails are rejected consistently; responses do not leak sensitive information."
CL-013,Add critical API integration tests,"Create integration tests for login, waitlist, checkout creation, subscription status, and webhook flows.",P0,1.5,"qa,backend,testing",Epic 5 - Testing Critical User Flows,Sprint 3,"Integration suite runs in CI; success and failure paths are covered; security-sensitive behaviors are verified."
CL-014,Add E2E paid-user flow,"Automate end-to-end scenario from landing to app access for paying users using staged webhook/payment mocks.",P1,1.0,"qa,e2e,payments",Epic 5 - Testing Critical User Flows,Sprint 3,"E2E test validates onboarding to paid access; test is deterministic in CI or pre-release environment."
CL-015,Add E2E beta-tester flow,"Automate end-to-end scenario for beta login, core app usage, session persistence, and logout.",P1,1.0,"qa,e2e,auth",Epic 5 - Testing Critical User Flows,Sprint 3,"E2E test validates protected routes, session continuity, and logout behavior; test runs in CI."
CL-016,Implement structured JSON logging,"Adopt structured logs with fields such as level, message, requestId, endpoint, and latency.",P1,0.5,"observability,backend",Epic 6 - Observability and Operations,Sprint 4,"Logs are emitted as JSON; sensitive data is redacted; request-linked debugging is possible in runtime logs."
CL-017,Add minimal alerting and SLO signals,"Set alerts for 5xx rate, webhook failures, and high latency p95 with actionable thresholds.",P1,1.0,"observability,ops,alerts",Epic 6 - Observability and Operations,Sprint 4,"Alert thresholds are defined and deployed; alert simulation confirms delivery; runbook references alert handling."
CL-018,Write incident runbook v1,"Document response procedures for login outages, webhook failures, and payment access incidents.",P1,0.5,"ops,runbook,sre",Epic 6 - Observability and Operations,Sprint 4,"Runbook exists in repo; includes detection, mitigation, communication, and recovery steps; on-call checklist is included."
CL-019,Version public API under /v1,"Introduce API version prefix and migrate current routes to `/v1` while preserving behavior.",P1,0.5,"backend,api,versioning",Epic 7 - SaaS Readiness and Governance,Sprint 4,"Public routes are available under `/v1`; docs are updated; compatibility checks confirm no regressions."
CL-020,Implement basic RBAC roles,"Add base roles `admin`, `support`, and `user` and restrict administrative endpoints by role.",P1,1.0,"backend,auth,rbac",Epic 7 - SaaS Readiness and Governance,Sprint 4,"Role model is persisted and enforced; protected endpoints require expected role; authorization tests pass."
CL-021,Define API compatibility policy,"Create policy for backward compatibility, deprecation windows, and breaking-change process.",P2,0.5,"api,governance,docs",Epic 7 - SaaS Readiness and Governance,Sprint 4,"Policy document is in repo; pull request template references the policy; breaking-change checklist is enforceable."
