Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Story Points
Epic,API Contract and FE-BE Consistency,"Standardize API contracts and request-response consistency between frontend and backend.",Highest,"backend api docs",API Contract and FE-BE Consistency,,
Epic,CI and Release Safety,"Establish CI checks and pre-deploy safeguards to reduce release risk.",Highest,"devops ci release",CI and Release Safety,,
Epic,Data Persistence Hardening,"Migrate from file-based persistence to database-backed storage with migration safety.",Highest,"data migration backend",Data Persistence Hardening,,
Epic,Payments and Webhooks at Scale,"Harden payment flows and webhook processing for reliable paid access.",Highest,"payments security backend",Payments and Webhooks at Scale,,
Epic,Testing Critical User Flows,"Implement integration and end-to-end coverage for highest-value user paths.",High,"qa testing e2e",Testing Critical User Flows,,
Epic,Observability and Operations,"Improve runtime visibility and operational response readiness.",High,"observability ops runbook",Observability and Operations,,
Epic,SaaS Readiness and Governance,"Introduce versioning, authorization governance, and API compatibility policy.",Medium,"api auth governance",SaaS Readiness and Governance,,
Task,CL-001 Define OpenAPI v1 baseline,"Create `openapi.yaml` for critical endpoints: health, waitlist, checkout, subscription status, Lemon webhook, AI coach.

Acceptance criteria:
- `openapi.yaml` exists in repo
- Critical endpoints include request/response schemas
- Success and error examples are documented",Highest,"backend api docs",,API Contract and FE-BE Consistency,1
Task,CL-002 Standardize API error format,"Implement a single error response shape: `{ code, message, details?, requestId }` across endpoints.

Acceptance criteria:
- All endpoints return the standard error shape
- OpenAPI documents the shape
- Frontend consumes `code` consistently",Highest,"backend api",,API Contract and FE-BE Consistency,1
Task,CL-003 Add requestId propagation,"Generate a request identifier per HTTP request and propagate it in responses and logs.

Acceptance criteria:
- Every response includes `requestId`
- Server logs include the same `requestId`
- Request tracing works end-to-end",High,"backend observability",,API Contract and FE-BE Consistency,0.5
Task,CL-004 Setup CI workflow,"Add `.github/workflows/ci.yml` to run tests and basic checks on pull requests and pushes.

Acceptance criteria:
- CI runs on push and pull request
- `npm test` passes in `comfort-ledger-beta`
- Failing checks block merge",Highest,"devops ci",,CI and Release Safety,0.5
Task,CL-005 Add predeploy validation script,"Create `npm run predeploy:check` to validate critical env vars and release prerequisites.

Acceptance criteria:
- Script fails when critical secrets are missing
- Checks include session secret and Lemon webhook secret when purchase mode is enabled
- Release checklist references script",Highest,"devops release",,CI and Release Safety,0.5
